target,unit_format,model,val_mae,val_mse,val_rmse,val_R2,test_mae,test_mse,test_rmse,test_R2
IGF1R_str_act_plus,ic50,svm,,,,,0.014240998,0.000660612,0.025702367,0.895115197
IGF1R_str_act_plus,ic50,xgboost,,,,,0.013635336,0.000852644,0.029200074,0.864626527
IGF1R_str_act_plus,ic50,rf,,,,,0.009202942,0.000849264,0.029142135,0.865163028
IGF1R_str_act_minus,ic50,ChemProp_DMPNN,0.100416,0.027433,0.165629,0.746307,0.0305,0.110771,0.174644,0.674903
IGF1R_str_act_minus,ic50,MPNN_net,0.0993573,0.0335561,0.1831833,0.6896824,0.1058808,0.0350508,0.1872185,0.6264023
IGF1R_str_act_minus,ic50,svm,,,,,0.086861473,0.025683188,0.160259752,0.72624898
IGF1R_str_act_minus,ic50,xgboost,,,,,0.100267201,0.029395755,0.171451904,0.686677873
IGF1R_str_act_minus,ic50,rf,,,,,0.085137252,0.028325099,0.168300621,0.698089659
Cannabinoid_receptor_1_str_act_plus,ic50,ChemProp_DMPNN,0.011086,0.000574,0.023951,0.937975,0.010699,0.000741,0.027228,0.926965
Cannabinoid_receptor_1_str_act_plus,ic50,MPNN_net,0.0102831,0.0005893,0.0242753,0.9362862,0.0115681,0.001452,0.0381049,0.8569576
Cannabinoid_receptor_1_str_act_plus,ic50,svm,,,,,0.013608684,0.000605387,0.024604622,0.940360129
Cannabinoid_receptor_1_str_act_plus,ic50,xgboost,,,,,0.012940878,0.000697422,0.026408756,0.931293368
Cannabinoid_receptor_1_str_act_plus,ic50,rf,,,,,0.008621346,0.000688888,0.026246677,0.932133853
Cannabinoid_receptor_1_str_act_minus,ic50,ChemProp_DMPNN,0.100997,0.035175,0.18755,0.751789,0.090394,0.028441,0.168645,0.802945
Cannabinoid_receptor_1_str_act_minus,ic50,MPNN_net,0.1073882,0.0456948,0.2137635,0.6775551,0.0990761,0.0387975,0.1969708,0.7311919
Cannabinoid_receptor_1_str_act_minus,ic50,svm,,,,,0.078543175,0.02702194,0.164383516,0.812778533
Cannabinoid_receptor_1_str_act_minus,ic50,xgboost,,,,,0.098916231,0.031099026,0.176349158,0.78453064
Cannabinoid_receptor_1_str_act_minus,ic50,rf,,,,,0.078021787,0.030326436,0.17414487,0.789883554
